borrowerId,borrowerFname,borrowerMname,borroweLname,borrowerStreet,borrowerCity,borrowerState,borrowerZip,borrowerDOB,borrowerRace,borrowerEthnicity,borrowerGender,borrowerAnnualIncomeUSD
1,MARY,NULL,Athy,4601 CONCORD PIKE/PO BOX 7474,WILMINGTON,DE,19803,3/25/1998,White,White American,Female,66229
2,PATRICIA,S,Basten,BOX S-4467,SAN JUAN,PR,902,5/6/1998,White,White American,Male,13040
3,LINDA,NULL,Afalava,PO BOX 3330,CLEVELAND,TN,37320,12/26/1989,White,White American,Male,61759
4,BARBARA,NULL,Angelocci,325 NORTH WELLS STREET,CHICAGO,IL,60610,8/12/1988,White,White American,Female,39444
5,ELIZABETH,NULL,Alicuben,049 SW PORTER,PORTLAND,OR,97201,8/21/1995,White,White American,Female,87652
6,JENNIFER,NULL,Ahmadi,10525 SE CHERRY BLOSSOM DR,PORTLAND,OR,97216,12/29/1989,White,White American,Female,32297
7,MARIA,NULL,Ahonen,1001 WEST HIGHWAY 7  SUITE 344,HOPKINS,MN,55305,7/18/1981,White,White American,Male,51965
8,SUSAN,NULL,Bazzanella,4200 CONNECTICUT AVENUE NW,WASHINGTON,DC,20008,9/4/1983,Hispanic,White American,Male,43683
9,MARGARET,NULL,Bacerra,3705 COLLEGE PARK DR,CONROE,TX,77384,6/2/1993,White,White American,Female,62483
10,DOROTHY,NULL,Balla,64 BRATTLE STREET,CAMBRIDGE,MA,2138,11/13/1980,White,White American,Male,11024
11,LISA,NULL,Azbell,8 FONES ALLEY,PROVIDENCE,RI,2912,11/1/1977,White,White American,Male,66636
12,NANCY,K,Anstine,97 WATERMAN STREET  BOX G-A212,PROVIDENCE,RI,2912,3/2/1987,White,White American,Male,63913
13,KAREN,NULL,Baucom,5000 FORBES AVENUE,PITTSBURGH,PA,15213,10/4/1995,White,White American,Male,89827
14,BETTY,NULL,Auther,5001 FORBES AVENUE,PITTSBURGH,PA,15213,5/5/1992,Hispanic,White American,Male,72908
15,HELEN,NULL,Ailey,10900 EUCLID AVENUE,CLEVELAND,OH,44106,4/15/1988,White,White American,Male,88563
16,SANDRA,NULL,Behrends,10901 EUCLID AVE,CLEVELAND,OH,44106,9/27/1980,Unknown,White American,Male,61986
17,DONNA,NULL,Beavin,10900 EUCLID AVE T-303,CLEVELAND,OH,44106,1/24/1980,White,White American,Male,26261
18,CAROL,NULL,Baugess,10902 EUCLID AVE,CLEVELAND,OH,44106,9/11/1991,White,White American,Male,85161
19,RUTH,NULL,Berland,10903 EUCLID AVE,CLEVELAND,OH,44106,4/21/2001,Hispanic,White American,Male,39939
20,SHARON,NULL,Abeles,10904 EUCLID AVE,CLEVELAND,OH,44106,7/27/1989,White,White American,Male,17340
21,MICHELLE,J,Berdan,10905 EUCLID AVE,CLEVELAND,OH,44106,12/18/1984,White,White American,Male,53516
22,LAURA,NULL,Arakaki,10906 EUCLID AVE,CLEVELAND,OH,44106,1/25/2001,White,White American,Male,44480
23,SARAH,NULL,Baranski,OFC FNCL AID  CARDINAL STATION,WASHINGTON,DC,20064,1/24/1981,White,White American,Male,24985
24,KIMBERLY,NULL,Beddome,228 COLLEGE AVENUE,RICHMOND,IN,47374,7/5/1976,White,White American,Male,48776
25,DEBORAH,NULL,Bedeker,VA CAMPUS MAPLE AVENUE,JOHNSON CITY,TN,37614,4/24/1998,White,White American,Male,84711
26,JESSICA,NULL,Balis,PO BOX 668,DUE WEST,SC,29639,10/31/1998,Hispanic,White American,Female,22526
27,SHIRLEY,NULL,Alward,2000 H STREET NW,WASHINGTON,DC,20052,9/9/1982,White,White American,Male,82793
28,CYNTHIA,NULL,Barvick,2300 I ST NW,WASHINGTON,DC,20052,11/3/1976,White,White American,Female,40039
29,ANGELA,NULL,Alcantara,51 BRATTLE STREET,CAMBRIDGE,MA,2138,5/14/1980,Hispanic,White American,Female,49969
30,MELISSA,NULL,Angerman,14 DIVINITY AVE,CAMBRIDGE,MA,2138,11/29/2001,White,White American,Female,63062
31,BRENDA,NULL,Adule,48 QUINCY STR,CAMBRIDGE,MA,2138,6/15/1988,White,White American,Female,60622
32,AMY,NULL,Aragoni,13 APPIAN WAY,CAMBRIDGE,MA,2138,4/5/1983,White,White American,Male,16411
33,ANNA,NULL,Antoine,708 HUNTINGTON AVE,BOSTON,MA,2115,4/10/2000,White,White American,Male,58827
34,REBECCA,NULL,Aupperle,124 MT AUBURN ST,CAMBRIDGE,MA,2138,4/3/1990,White,White American,Male,36008
35,VIRGINIA,NULL,Alkema,1 MT. VERNON PLACE,BALTIMORE,MD,21202,5/11/1991,White,White American,Male,16172
36,KATHLEEN,NULL,Beadnell,615 N. WOLFE  STREET,BALTIMORE,MD,21205,10/15/1983,White,White American,Male,26304
37,PAMELA,NULL,Barclift,733 N. BROADWAY - SUITE 137,BALTIMORE,MD,21205,8/20/1997,Black,White American,Male,48547
38,MARTHA,NULL,Bachert,919 SOUTH ALBANY STREET,LOS ANGELES,CA,90015,8/21/1975,White,White American,Female,57079
39,DEBRA,NULL,Arlan,STUDENT FINANCIAL AID OFFICE B,ROCHESTER,MN,55901,7/23/1983,White,White American,Male,33555
40,AMANDA,NULL,Belzer,1200 MAIN STREET,BETHLEHEM,PA,18018,7/10/1991,White,European American,Female,65582
41,STEPHANIE,NULL,Bega,014 GROSVENOR HALL,ATHENS,OH,45701,4/26/1985,Black,European American,Male,61283
42,CAROLYN,NULL,Ary,559 NATHAN ABBOTT WAY,STANFORD,CA,94305,5/24/1979,White,European American,Female,10639
43,CHRISTINE,S,Ashcraft,1401 61ST STREET SOUTH,SAINT PETERSBURG,FL,33707,6/23/1985,White,European American,Male,28430
44,MARIE,NULL,Baxi,200 WESTBORO ROAD,NORTH GRAFTON,MA,1536,4/8/1976,White,European American,Male,58603
45,JANET,NULL,Ayalla,FIN AID OFFICE  12-109 CHS,LOS ANGELES,CA,90095,8/31/1993,White,European American,Male,41719
46,CATHERINE,NULL,Behm,A3042 DENTAL BLDG,LOS ANGELES,CA,90095,12/16/1980,Black,European American,Male,84271
47,FRANCES,NULL,Awe,970 EAST 58TH STREET RM 411,CHICAGO,IL,60637,12/19/1990,Hispanic,European American,Male,40956
48,ANN,NULL,Bellantuono,231 BETHESDA AVENUE,CINCINNATI,OH,45267,3/10/1975,White,European American,Male,40992
49,JOYCE,NULL,Bake,55 ELIZABETH ST,HARTFORD,CT,6105,9/14/1996,Hispanic,European American,Male,81414
50,DIANE,NULL,Archilla,651 E. JEFFERSON,DETROIT,MI,48226,2/18/1994,White,European American,Male,56831
51,ALICE,NULL,Amento,1301 CATHERINE C5124 MED SCI-I,ANN ARBOR,MI,48109,6/28/1993,White,European American,Male,51900
52,JULIE,NULL,Beech,299 N. SPRING MILL RD GAREY HL,VILLANOVA,PA,19085,10/22/1992,Hispanic,European American,Male,52111
53,HEATHER,NULL,Bembry,PO BOX 7246,WINSTON-SALEM,NC,27109,10/11/1999,White,European American,Female,22923
54,TERESA,NULL,Bells,468 W. FERRY ROOM 191,DETROIT,MI,48202,6/16/1980,White,European American,Male,11400
55,DORIS,NULL,Benham,9600 E 13TH STREET,CADILLAC,MI,49601,8/28/1977,White,European American,Female,81531
56,GLORIA,NULL,Bancroft,34950 LITTLE MACK,CLINTON TOWNSHIP,MI,48035,6/29/1996,White,European American,Male,47616
57,EVELYN,NULL,Anagnostou,1903 MARQUETTE,MUSKEGON,MI,49442,7/2/1983,White,European American,Male,30350
58,JEAN,NULL,Ashlock,1020 S. WASHINGTON,OWOSSO,MI,48867,6/10/2001,Hispanic,European American,Female,22656
59,CHERYL,NULL,Appenzeller,3403 LAPEER ROAD,PORT HURON,MI,48060,4/5/1976,White,European American,Female,49767
60,MILDRED,NULL,Bacayo,1500 UNIVERSITY DRIVE,AUBURN HILLS,MI,48326,8/7/1996,White,European American,Male,17869
61,KATHERINE,NULL,Behmer,86 BRATTLE STREET,CAMBRIDGE,MA,2138,1/17/1992,Black,European American,Female,59463
62,JOAN,NULL,Armstrong,1350 MASSACHUSETTS AVE,CAMBRIDGE,MA,2138,10/31/1992,White,European American,Male,20101
63,ASHLEY,NULL,Belezos,1563 MASS AVE,CAMBRIDGE,MA,2138,8/1/1985,White,European American,Male,17120
64,JUDITH,NULL,Arancibia,25 SHATTUCK ST,BOSTON,MA,2115,6/17/1991,White,European American,Male,68719
65,ROSE,NULL,Armer,3400 N. CHARLES ST,BALTIMORE,MD,21218,9/13/1990,White,European American,Female,35719
66,JANICE,NULL,Benyard,1740 MASSACHUSETTS AVE. NW,WASHINGTON,DC,20036,3/14/1991,White,European American,Female,15112
67,KELLY,NULL,Bennice,6740 ALEXANDER BELL DR.,COLUMBIA,MD,21046,12/16/1985,White,European American,Male,64943
68,NICOLE,NULL,Alsman,525 N WOLFE STREET - ROOM 127,BALTIMORE,MD,21205,5/13/1975,White,European American,Male,37658
69,JUDY,NULL,Anawalt,151 EAST GRIFFITH,JACKSON,MS,39201,7/4/1981,White,European American,Male,54761
70,CHRISTINA,NULL,Benbenek,3333 HARBOR BOULEVARD,COSTA MESA,CA,92626,3/23/1999,White,European American,Male,45856
71,KATHY,NULL,Badgero,155 ROE BLVD,PATCHOGUE,NY,11772,5/2/1985,Hispanic,European American,Male,54886
72,THERESA,NULL,Allamong,310 HUTCHINS HALL,ANN ARBOR,MI,48109,9/12/2001,Black,European American,Male,35128
73,BEVERLY,NULL,Ahuna,SPANGLER CTR,BOSTON,MA,2163,9/24/1990,White,European American,Male,18608
74,DENISE,NULL,Apalategui,188 LONGWOOD AVE,BOSTON,MA,2115,10/21/1991,White,European American,Male,55374
75,TAMMY,NULL,Arizola,5807 S. WOODLAWN,CHICAGO,IL,60637,11/12/1986,White,European American,Male,19403
76,IRENE,NULL,Bellitti,PO BOX 7206,WINSTON-SALEM,NC,27109,3/20/1984,White,European American,Male,55711
77,JANE,NULL,Barczak,WORRELL PROFESSIONAL CENTER,WINSTON-SALEM,NC,27109,8/21/1996,White,European American,Male,71555
78,LORI,NULL,Bachmeier,M-219 SCAIFE HALL,PITTSBURGH,PA,15261,11/19/1981,White,European American,Male,75442
79,RACHEL,NULL,Beaubien,3900 RESERVIOR RD  NW,WASHINGTON,DC,20007,3/24/2000,Unknown,European American,Male,68736
80,MARILYN,G,Baltes,1 KNEELAND STR,BOSTON,MA,2111,5/15/1977,White,European American,Male,44294
81,ANDREA,NULL,Basford,136 HARRISON AVE,BOSTON,MA,2111,2/16/1989,White,European American,Male,36179
82,KATHRYN,NULL,Ankeny,LILLY HALL,NORTHAMPTON,MA,1063,6/8/1975,White,European American,Male,71394
83,LOUISE,NULL,Axe,MEDICAL CENTER BLVD,WINSTON-SALEM,NC,27157,8/17/2000,White,European American,Male,80522
84,SARA,NULL,Apperson,1798 ASYLUM AVENUE,WEST HARTFORD,CT,6117,8/19/1983,White,European American,Female,13303
85,ANNE,NULL,Arleth,211 OLD LAW PO BOX 24-8087,CORAL GABLES,FL,33124,11/29/2001,White,European American,Male,45356
86,JACQUELINE,NULL,Bergerson,1600 NW 10TH AVE,MIAMI,FL,33136,10/8/1980,White,European American,Female,18875
87,WANDA,NULL,Allbritton,409 EAST MISSISSIPPI AVENUE,SAYRE,OK,73662,9/5/1996,White,European American,Male,81936
88,BONNIE,NULL,Bacio,NORTHERN BOULEVARD,OLD WESTBURY,NY,11568,11/8/1984,White,European American,Male,46851
89,JULIA,NULL,Alwazan,400 CORPORATE POINTE,CULVER CITY,CA,90230,4/28/1993,White,European American,Male,57747
90,RUBY,NULL,Armesto,2626 SIXTH AVENUE,SEATTLE,WA,98121,5/31/1975,Hispanic,European American,Male,33734
91,LOIS,NULL,Bagger,801 GARDEN STR  SUITE 101,SANTA BARBARA,CA,93101,11/11/1999,White,European American,Male,51322
92,TINA,NULL,Adrid,40 AVON STREET,KEENE,NH,3431,5/9/1982,White,European American,Male,84724
93,PHYLLIS,NULL,Avary,33 KEARNEY SQUARE,LOWELL,MA,1852,4/1/1987,Hispanic,European American,Male,58774
94,NORMA,NULL,Beaulac,200 FIRST ST  SW,ROCHESTER,MN,55905,1/25/1982,Black,European American,Male,24317
95,PAULA,NULL,Ailts,12901 BRUCE B DOWNS BLVD MDC 4,TAMPA,FL,33612,12/4/2000,Black,European American,Male,42620
96,DIANA,NULL,Artzer,1374 SCOTT HALL,DETROIT,MI,48201,12/14/1991,White,European American,Female,31984
97,ANNIE,NULL,Balwinski,8350 N TAMIAMI TRAIL,SARASOTA,FL,34243,3/14/1995,White,European American,Female,85590
98,LILLIAN,NULL,Balke,2912 COLLEGE AVENUE,DAVIE,FL,33314,11/19/1996,White,European American,Female,52869
99,EMILY,NULL,Abetrani,D155 CHANDLER MEDICAL CENTER,LEXINGTON,KY,40536,11/21/1985,White,European American,Female,83989
100,ROBIN,NULL,Ack,OSFA - MN109A CHANDLER MED CTR,LEXINGTON,KY,40536,6/24/1996,White,European American,Male,73304
101,PEGGY,NULL,Atcheson,1760 N. CONGRESS AVE.,WEST PALM BEACH,FL,33409,10/3/1993,White,European American,Male,78681
102,CRYSTAL,NULL,Barrois,2800 COLLEGE AVENUE,ALTON,IL,62002,7/11/1998,White,European American,Male,72646
103,GLADYS,NULL,Altaras,500 COLLEGE TERRACE,HOMESTEAD,FL,33030,8/8/1976,White,European American,Male,65660
104,RITA,NULL,Benn,2255 NW NORTHUP,PORTLAND,OR,97210,8/29/1977,White,European American,Male,69143
105,DAWN,NULL,Berkebile,2173 N.W. 99TH AVE,MIAMI,FL,33172,12/2/1977,White,European American,Female,12331
106,CONNIE,NULL,Antrobus,4775 INDIAN SCHOOL RD NE #200,ALBUQUERQUE,NM,87110,12/29/2000,White,European American,Male,54722
